product_sk,product_code,product_name,category,sub_category,brand,unit_cost,premium_flag
1,P001,Cafe Premium Bebida Quente,Bebidas,Cafe,Barista Brasil,6.5,False
2,P002,Chá Verde Organico,Bebidas,Cha,VerdeVida,4.2,False
3,P003,Suco Natural de Laranja,Bebidas,Suco,Citrus+,3.8,False
4,P004,Sanduiche Integral Frango,Alimentos,Sanduiche,Naturalle,8.9,False
5,P005,Salada Gourmet Quinoa,Alimentos,Salada,FreshMix,10.5,True
6,P006,Bolo de Chocolate,Confeitaria,Bolo,Doces da Serra,12.0,True
7,P007,Cookie Integral,Confeitaria,Biscoito,GrainUp,2.5,False
8,P008,Iogurte Grego Natural,Laticinios,Iogurte,LaGrega,5.3,False
9,P009,Smoothie Frutas Vermelhas,Bebidas,Smoothie,BerryFit,7.2,False
10,P010,Wrap Vegetariano,Alimentos,Wrap,GreenBite,9.8,True
